name,predicted_heartrate,real_heartrate,heartrate_error,blink_rate
S_000,93.603515625,83.5375,10.066015625000006,27.93791574279379
S_001,86.572265625,80.3974358974359,6.174829727564102,25.418060200668894
S_002,72.0703125,122.47916666666667,-50.40885416666667,30.97884546432413
S_003,58.447265625,114.92156862745098,-56.47430300245098,28.362037376328324
S_004,93.603515625,79.125,14.478515625,29.09625275532697
S_005,50.537109375,92.7875,-42.250390624999994,28.414096916299563
S_006,87.01171875,106.72839506172839,-19.716676311728392,24.440366972477065
S_007,68.994140625,103.53086419753086,-34.53672357253086,28.217280349981774
S_008,52.294921875,90.29629629629629,-38.00137442129629,26.904848705796574
S_009,78.662109375,81.0886075949367,-2.426498219936704,32.54612546125461
S_010,80.419921875,98.06172839506173,-17.641806520061735,27.692307692307693
S_011,76.46484375,72.5679012345679,3.8969425154321016,29.878273699741797
S_012,149.4140625,81.48809523809524,67.92596726190476,27.801724137931036
S_013,60.64453125,90.24489795918367,-29.600366709183675,28.94736842105263
S_014,72.0703125,83.33333333333333,-11.263020833333329,31.776388378080174
S_015,89.208984375,79.21176470588236,9.99721966911764,25.450689289501593
S_016,61.5234375,95.48101265822785,-33.957575158227854,31.852409638554217
S_017,149.4140625,90.58571428571429,58.82834821428571,27.80708364732479
S_018,60.64453125,86.0,-25.35546875,26.26399728537496
S_019,48.779296875,96.5375,-47.758203124999994,28.33089311859444
S_020,72.0703125,80.92682926829268,-8.856516768292678,25.306416726748377
S_021,86.572265625,118.46478873239437,-31.892523107394368,26.460859977949283
S_022,94.04296875,87.14285714285714,6.900111607142861,31.4410480349345
S_023,93.603515625,77.51851851851852,16.08499710648148,27.732942039618493
S_024,93.603515625,77.18181818181819,16.421697443181813,24.954396205764322
S_025,95.361328125,61.475,33.886328125,27.112417340191037
S_026,93.603515625,70.50617283950618,23.097342785493822,31.95266272189349
S_027,84.375,102.07777777777778,-17.702777777777783,29.497450837581937
S_028,87.01171875,73.88732394366197,13.124394806338032,27.68216770413768
S_029,93.603515625,97.88607594936708,-4.282560324367083,29.823269513991164
S_030,86.572265625,79.42682926829268,7.145436356707322,28.936792108147603
S_031,55.37109375,91.39506172839506,-36.02396797839506,30.552546045503792
S_032,86.572265625,86.86842105263158,-0.2961554276315752,27.302996670366262
S_033,93.603515625,85.6375,7.966015624999997,25.29585798816568
S_034,65.0390625,94.28571428571429,-29.246651785714292,28.16593886462882
S_035,61.962890625,109.97727272727273,-48.014382102272734,29.149797570850204
S_036,86.572265625,81.46913580246914,5.10312982253086,26.963829009864813
S_037,70.3125,71.8170731707317,-1.5045731707317032,30.4635761589404
S_038,62.841796875,66.025,-3.1832031250000057,27.845303867403317
S_039,76.46484375,102.05333333333333,-25.588489583333327,25.951940850277264
S_040,85.693359375,90.46341463414635,-4.770055259146346,30.563583815028903
S_041,56.25,117.71232876712328,-61.46232876712328,24.351005484460693
S_042,62.40234375,62.93827160493827,-0.5359278549382722,31.403118040089087
S_043,62.40234375,57.78082191780822,4.621521832191782,28.186453022578295
S_044,50.9765625,75.18072289156626,-24.204160391566262,27.222427148653637
S_045,86.572265625,75.65,10.922265624999994,30.966325036603223
S_046,60.205078125,62.875,-2.669921875,24.936201239518777
S_047,53.61328125,70.92682926829268,-17.31354801829268,23.05159165751921
S_048,77.783203125,101.67088607594937,-23.88768295094937,28.455882352941174
S_049,40.4296875,63.8,-23.370312499999997,22.32459248759745
S_050,93.603515625,87.76829268292683,5.835222942073173,27.581174753739514
S_051,79.1015625,80.16455696202532,-1.0629944620253156,25.446428571428573
S_052,75.5859375,71.12048192771084,4.465455572289159,20.630372492836678
S_053,65.0390625,69.16,-4.120937499999997,28.84615384615385
S_054,62.841796875,64.5952380952381,-1.753441220238102,27.692307692307693
S_055,71.19140625,73.0,-1.80859375,24.244630506006555
S_056,81.298828125,97.20987654320987,-15.911048418209873,30.055658627087197
S_057,71.19140625,68.44444444444444,2.746961805555557,30.887185104052573
S_058,51.85546875,79.9625,-28.107031250000006,28.01037421267136
S_059,86.1328125,78.73913043478261,7.393682065217391,20.081814801041276
