name,predicted_heartrate,real_heartrate,heartrate_error,blink_rate
S_000,90.52734375,83.5375,6.989843750000006,27.93791574279379
S_001,102.83203125,80.3974358974359,22.434595352564102,25.418060200668894
S_002,152.05078125,122.47916666666667,29.57161458333333,30.97884546432413
S_003,100.634765625,114.92156862745098,-14.28680300245098,28.362037376328324
S_004,108.984375,79.125,29.859375,29.09625275532697
S_005,97.998046875,92.7875,5.210546875000006,28.414096916299563
S_006,151.611328125,106.72839506172839,44.88293306327161,24.440366972477065
S_007,83.056640625,103.53086419753086,-20.47422357253086,28.217280349981774
S_008,76.025390625,90.29629629629629,-14.27090567129629,26.904848705796574
S_009,99.31640625,81.0886075949367,18.227798655063296,32.54612546125461
S_010,94.04296875,98.06172839506173,-4.018759645061735,27.692307692307693
S_011,108.10546875,72.5679012345679,35.5375675154321,29.878273699741797
S_012,104.150390625,81.48809523809524,22.66229538690476,27.801724137931036
S_013,112.5,90.24489795918367,22.255102040816325,28.94736842105263
S_014,122.607421875,83.33333333333333,39.27408854166667,31.776388378080174
S_015,112.939453125,79.21176470588236,33.72768841911764,25.450689289501593
S_016,87.01171875,95.48101265822785,-8.469293908227854,31.852409638554217
S_017,111.62109375,90.58571428571429,21.03537946428571,27.80708364732479
S_018,90.52734375,86.0,4.52734375,26.26399728537496
S_019,148.974609375,96.5375,52.437109375000006,28.33089311859444
S_020,96.240234375,80.92682926829268,15.313405106707322,25.306416726748377
S_021,105.46875,118.46478873239437,-12.996038732394368,26.460859977949283
S_022,121.2890625,87.14285714285714,34.14620535714286,31.4410480349345
S_023,89.6484375,77.51851851851852,12.129918981481481,27.732942039618493
S_024,113.818359375,77.18181818181819,36.63654119318181,24.954396205764322
S_025,93.1640625,61.475,31.6890625,27.112417340191037
S_026,99.755859375,70.50617283950618,29.249686535493822,31.95266272189349
S_027,108.544921875,102.07777777777778,6.467144097222217,29.497450837581937
S_028,126.5625,73.88732394366197,52.67517605633803,27.68216770413768
S_029,95.80078125,97.88607594936708,-2.0852946993670827,29.823269513991164
S_030,98.876953125,79.42682926829268,19.45012385670732,28.936792108147603
S_031,83.056640625,91.39506172839506,-8.338421103395063,30.552546045503792
S_032,93.1640625,86.86842105263158,6.295641447368425,27.302996670366262
S_033,68.994140625,85.6375,-16.643359375000003,25.29585798816568
S_034,97.55859375,94.28571428571429,3.272879464285708,28.16593886462882
S_035,152.05078125,109.97727272727273,42.073508522727266,29.149797570850204
S_036,75.5859375,81.46913580246914,-5.88319830246914,26.963829009864813
S_037,92.724609375,71.8170731707317,20.907536204268297,30.4635761589404
S_038,79.1015625,66.025,13.076562499999994,27.845303867403317
S_039,152.05078125,102.05333333333333,49.99744791666667,25.951940850277264
S_040,102.83203125,90.46341463414635,12.368616615853654,30.563583815028903
S_041,93.603515625,117.71232876712328,-24.10881314212328,24.351005484460693
S_042,99.755859375,62.93827160493827,36.81758777006173,31.403118040089087
S_043,80.419921875,57.78082191780822,22.63909995719178,28.186453022578295
S_044,86.1328125,75.18072289156626,10.952089608433738,27.222427148653637
S_045,90.087890625,75.65,14.437890624999994,30.966325036603223
S_046,101.513671875,62.875,38.638671875,24.936201239518777
S_047,97.998046875,70.92682926829268,27.07121760670732,23.05159165751921
S_048,100.1953125,101.67088607594937,-1.4755735759493689,28.455882352941174
S_049,94.04296875,63.8,30.242968750000003,22.32459248759745
S_050,90.087890625,87.76829268292683,2.319597942073173,27.581174753739514
S_051,86.1328125,80.16455696202532,5.968255537974684,25.446428571428573
S_052,109.423828125,71.12048192771084,38.30334619728916,20.630372492836678
S_053,104.58984375,69.16,35.42984375,28.84615384615385
S_054,98.4375,64.5952380952381,33.8422619047619,27.692307692307693
S_055,104.150390625,73.0,31.150390625,24.244630506006555
S_056,112.5,97.20987654320987,15.290123456790127,30.055658627087197
S_057,117.333984375,68.44444444444444,48.88953993055556,30.887185104052573
S_058,111.62109375,79.9625,31.658593749999994,28.01037421267136
S_059,99.31640625,78.73913043478261,20.57727581521739,20.081814801041276
