name,predicted_heartrate,real_heartrate,heartrate_error,blink_rate
S_000,115.13671875,83.5375,31.599218750000006,27.93791574279379
S_001,80.419921875,80.3974358974359,0.0224859775641022,25.418060200668894
S_002,96.6796875,122.47916666666667,-25.79947916666667,30.97884546432413
S_003,115.13671875,114.92156862745098,0.21515012254901933,28.362037376328324
S_004,79.1015625,79.125,-0.0234375,29.09625275532697
S_005,101.513671875,92.7875,8.726171875000006,28.414096916299563
S_006,149.4140625,106.72839506172839,42.68566743827161,24.440366972477065
S_007,79.1015625,103.53086419753086,-24.42930169753086,28.217280349981774
S_008,71.630859375,90.29629629629629,-18.66543692129629,26.904848705796574
S_009,100.634765625,81.0886075949367,19.546158030063296,32.54612546125461
S_010,97.119140625,98.06172839506173,-0.9425877700617349,27.692307692307693
S_011,100.634765625,72.5679012345679,28.0668643904321,29.878273699741797
S_012,117.7734375,81.48809523809524,36.28534226190476,27.801724137931036
S_013,57.568359375,90.24489795918367,-32.676538584183675,28.94736842105263
S_014,108.544921875,83.33333333333333,25.21158854166667,31.776388378080174
S_015,64.599609375,79.21176470588236,-14.61215533088236,25.450689289501593
S_016,101.953125,95.48101265822785,6.472112341772146,31.852409638554217
S_017,107.666015625,90.58571428571429,17.08030133928571,27.80708364732479
S_018,100.634765625,86.0,14.634765625,26.26399728537496
S_019,107.666015625,96.5375,11.128515625000006,28.33089311859444
S_020,92.28515625,80.92682926829268,11.358326981707322,25.306416726748377
S_021,106.34765625,118.46478873239437,-12.117132482394368,26.460859977949283
S_022,64.599609375,87.14285714285714,-22.54324776785714,31.4410480349345
S_023,108.10546875,77.51851851851852,30.58695023148148,27.732942039618493
S_024,100.634765625,77.18181818181819,23.452947443181813,24.954396205764322
S_025,71.630859375,61.475,10.155859374999999,27.112417340191037
S_026,79.541015625,70.50617283950618,9.034842785493822,31.95266272189349
S_027,101.953125,102.07777777777778,-0.12465277777778283,29.497450837581937
S_028,86.1328125,73.88732394366197,12.245488556338032,27.68216770413768
S_029,93.603515625,97.88607594936708,-4.282560324367083,29.823269513991164
S_030,108.10546875,79.42682926829268,28.67863948170732,28.936792108147603
S_031,79.1015625,91.39506172839506,-12.293499228395063,30.552546045503792
S_032,64.599609375,86.86842105263158,-22.268811677631575,27.302996670366262
S_033,136.669921875,85.6375,51.032421875,25.29585798816568
S_034,108.10546875,94.28571428571429,13.819754464285708,28.16593886462882
S_035,112.060546875,109.97727272727273,2.0832741477272663,29.149797570850204
S_036,108.10546875,81.46913580246914,26.63633294753086,26.963829009864813
S_037,101.07421875,71.8170731707317,29.257145579268297,30.4635761589404
S_038,97.55859375,66.025,31.533593749999994,27.845303867403317
S_039,105.908203125,102.05333333333333,3.8548697916666725,25.951940850277264
S_040,86.572265625,90.46341463414635,-3.8911490091463463,30.563583815028903
S_041,79.1015625,117.71232876712328,-38.61076626712328,24.351005484460693
S_042,101.07421875,62.93827160493827,38.13594714506173,31.403118040089087
S_043,93.603515625,57.78082191780822,35.82269370719178,28.186453022578295
S_044,89.6484375,75.18072289156626,14.467714608433738,27.222427148653637
S_045,99.755859375,75.65,24.105859374999994,30.966325036603223
S_046,101.07421875,62.875,38.19921875,24.936201239518777
S_047,93.603515625,70.92682926829268,22.67668635670732,23.05159165751921
S_048,100.634765625,101.67088607594937,-1.0361204509493689,28.455882352941174
S_049,100.634765625,63.8,36.834765625,22.32459248759745
S_050,86.572265625,87.76829268292683,-1.1960270579268268,27.581174753739514
S_051,93.603515625,80.16455696202532,13.438958662974684,25.446428571428573
S_052,79.1015625,71.12048192771084,7.981080572289159,20.630372492836678
S_053,93.603515625,69.16,24.443515625000003,28.84615384615385
S_054,86.1328125,64.5952380952381,21.537574404761898,27.692307692307693
S_055,115.13671875,73.0,42.13671875,24.244630506006555
S_056,93.603515625,97.20987654320987,-3.606360918209873,30.055658627087197
S_057,72.0703125,68.44444444444444,3.625868055555557,30.887185104052573
S_058,100.634765625,79.9625,20.672265624999994,28.01037421267136
S_059,100.634765625,78.73913043478261,21.89563519021739,20.081814801041276
