name,predicted_heartrate,real_heartrate,heartrate_error,blink_rate
S_000,47.021484375,83.5375,-36.516015624999994,27.93791574279379
S_001,58.88671875,80.3974358974359,-21.510717147435898,25.418060200668894
S_002,88.330078125,122.47916666666667,-34.14908854166667,30.97884546432413
S_003,75.146484375,114.92156862745098,-39.77508425245098,28.362037376328324
S_004,52.294921875,79.125,-26.830078125,29.09625275532697
S_005,57.568359375,92.7875,-35.219140624999994,28.414096916299563
S_006,106.34765625,106.72839506172839,-0.3807388117283921,24.440366972477065
S_007,47.900390625,103.53086419753086,-55.63047357253086,28.217280349981774
S_008,51.85546875,90.29629629629629,-38.44082754629629,26.904848705796574
S_009,78.662109375,81.0886075949367,-2.426498219936704,32.54612546125461
S_010,60.205078125,98.06172839506173,-37.856650270061735,27.692307692307693
S_011,62.841796875,72.5679012345679,-9.726104359567898,29.878273699741797
S_012,81.73828125,81.48809523809524,0.2501860119047592,27.801724137931036
S_013,65.478515625,90.24489795918367,-24.766382334183675,28.94736842105263
S_014,40.4296875,83.33333333333333,-42.90364583333333,31.776388378080174
S_015,48.33984375,79.21176470588236,-30.87192095588236,25.450689289501593
S_016,48.33984375,95.48101265822785,-47.141168908227854,31.852409638554217
S_017,44.82421875,90.58571428571429,-45.76149553571429,27.80708364732479
S_018,45.263671875,86.0,-40.736328125,26.26399728537496
S_019,62.841796875,96.5375,-33.695703124999994,28.33089311859444
S_020,82.177734375,80.92682926829268,1.2509051067073216,25.306416726748377
S_021,61.083984375,118.46478873239437,-57.38080435739437,26.460859977949283
S_022,49.658203125,87.14285714285714,-37.48465401785714,31.4410480349345
S_023,70.3125,77.51851851851852,-7.206018518518519,27.732942039618493
S_024,69.43359375,77.18181818181819,-7.748224431818187,24.954396205764322
S_025,64.599609375,61.475,3.1246093749999986,27.112417340191037
S_026,59.765625,70.50617283950618,-10.740547839506178,31.95266272189349
S_027,41.748046875,102.07777777777778,-60.32973090277778,29.497450837581937
S_028,73.828125,73.88732394366197,-0.05919894366196843,27.68216770413768
S_029,69.43359375,97.88607594936708,-28.452482199367083,29.823269513991164
S_030,44.384765625,79.42682926829268,-35.04206364329268,28.936792108147603
S_031,71.630859375,91.39506172839506,-19.764202353395063,30.552546045503792
S_032,48.779296875,86.86842105263158,-38.089124177631575,27.302996670366262
S_033,88.330078125,85.6375,2.692578124999997,25.29585798816568
S_034,69.43359375,94.28571428571429,-24.852120535714292,28.16593886462882
S_035,59.326171875,109.97727272727273,-50.651100852272734,29.149797570850204
S_036,50.537109375,81.46913580246914,-30.93202642746914,26.963829009864813
S_037,62.841796875,71.8170731707317,-8.975276295731703,30.4635761589404
S_038,61.5234375,66.025,-4.501562500000006,27.845303867403317
S_039,54.4921875,102.05333333333333,-47.56114583333333,25.951940850277264
S_040,90.52734375,90.46341463414635,0.06392911585365368,30.563583815028903
S_041,64.599609375,117.71232876712328,-53.11271939212328,24.351005484460693
S_042,47.4609375,62.93827160493827,-15.477334104938272,31.403118040089087
S_043,63.720703125,57.78082191780822,5.939881207191782,28.186453022578295
S_044,46.142578125,75.18072289156626,-29.038144766566262,27.222427148653637
S_045,45.703125,75.65,-29.946875000000006,30.966325036603223
S_046,70.3125,62.875,7.4375,24.936201239518777
S_047,45.263671875,70.92682926829268,-25.66315739329268,23.05159165751921
S_048,50.09765625,101.67088607594937,-51.57322982594937,28.455882352941174
S_049,60.205078125,63.8,-3.594921874999997,22.32459248759745
S_050,79.541015625,87.76829268292683,-8.227277057926827,27.581174753739514
S_051,62.40234375,80.16455696202532,-17.762213212025316,25.446428571428573
S_052,62.841796875,71.12048192771084,-8.278685052710841,20.630372492836678
S_053,66.796875,69.16,-2.3631249999999966,28.84615384615385
S_054,66.357421875,64.5952380952381,1.762183779761898,27.692307692307693
S_055,71.19140625,73.0,-1.80859375,24.244630506006555
S_056,99.31640625,97.20987654320987,2.106529706790127,30.055658627087197
S_057,43.9453125,68.44444444444444,-24.499131944444443,30.887185104052573
S_058,79.541015625,79.9625,-0.4214843750000057,28.01037421267136
S_059,46.58203125,78.73913043478261,-32.15709918478261,20.081814801041276
