name,predicted_heartrate,real_heartrate,heartrate_error,blink_rate
S_000,56.25,83.5375,-27.287499999999994,27.93791574279379
S_001,56.25,80.3974358974359,-24.147435897435898,25.418060200668894
S_002,67.236328125,122.47916666666667,-55.24283854166667,30.97884546432413
S_003,56.25,114.92156862745098,-58.67156862745098,28.362037376328324
S_004,56.25,79.125,-22.875,29.09625275532697
S_005,78.662109375,92.7875,-14.125390624999994,28.414096916299563
S_006,56.25,106.72839506172839,-50.47839506172839,24.440366972477065
S_007,78.662109375,103.53086419753086,-24.86875482253086,28.217280349981774
S_008,67.67578125,90.29629629629629,-22.62051504629629,26.904848705796574
S_009,56.25,81.0886075949367,-24.838607594936704,32.54612546125461
S_010,78.662109375,98.06172839506173,-19.399619020061735,27.692307692307693
S_011,56.25,72.5679012345679,-16.3179012345679,29.878273699741797
S_012,67.236328125,81.48809523809524,-14.25176711309524,27.801724137931036
S_013,56.25,90.24489795918367,-33.994897959183675,28.94736842105263
S_014,56.25,83.33333333333333,-27.08333333333333,31.776388378080174
S_015,56.25,79.21176470588236,-22.96176470588236,25.450689289501593
S_016,56.25,95.48101265822785,-39.231012658227854,31.852409638554217
S_017,56.25,90.58571428571429,-34.33571428571429,27.80708364732479
S_018,56.25,86.0,-29.75,26.26399728537496
S_019,56.25,96.5375,-40.287499999999994,28.33089311859444
S_020,78.662109375,80.92682926829268,-2.2647198932926784,25.306416726748377
S_021,56.25,118.46478873239437,-62.21478873239437,26.460859977949283
S_022,56.25,87.14285714285714,-30.89285714285714,31.4410480349345
S_023,56.25,77.51851851851852,-21.26851851851852,27.732942039618493
S_024,59.765625,77.18181818181819,-17.416193181818187,24.954396205764322
S_025,67.67578125,61.475,6.200781249999999,27.112417340191037
S_026,68.994140625,70.50617283950618,-1.5120322145061778,31.95266272189349
S_027,67.67578125,102.07777777777778,-34.40199652777778,29.497450837581937
S_028,56.25,73.88732394366197,-17.63732394366197,27.68216770413768
S_029,67.67578125,97.88607594936708,-30.210294699367083,29.823269513991164
S_030,56.25,79.42682926829268,-23.17682926829268,28.936792108147603
S_031,56.25,91.39506172839506,-35.14506172839506,30.552546045503792
S_032,67.67578125,86.86842105263158,-19.192639802631575,27.302996670366262
S_033,56.25,85.6375,-29.387500000000003,25.29585798816568
S_034,67.67578125,94.28571428571429,-26.609933035714292,28.16593886462882
S_035,67.236328125,109.97727272727273,-42.740944602272734,29.149797570850204
S_036,56.25,81.46913580246914,-25.21913580246914,26.963829009864813
S_037,78.662109375,71.8170731707317,6.845036204268297,30.4635761589404
S_038,56.25,66.025,-9.775000000000006,27.845303867403317
S_039,56.25,102.05333333333333,-45.80333333333333,25.951940850277264
S_040,78.662109375,90.46341463414635,-11.801305259146346,30.563583815028903
S_041,78.662109375,117.71232876712328,-39.05021939212328,24.351005484460693
S_042,56.25,62.93827160493827,-6.688271604938272,31.403118040089087
S_043,56.25,57.78082191780822,-1.5308219178082183,28.186453022578295
S_044,56.25,75.18072289156626,-18.930722891566262,27.222427148653637
S_045,56.25,75.65,-19.400000000000006,30.966325036603223
S_046,56.25,62.875,-6.625,24.936201239518777
S_047,56.25,70.92682926829268,-14.676829268292678,23.05159165751921
S_048,56.25,101.67088607594937,-45.42088607594937,28.455882352941174
S_049,56.25,63.8,-7.549999999999997,22.32459248759745
S_050,56.25,87.76829268292683,-31.518292682926827,27.581174753739514
S_051,56.25,80.16455696202532,-23.914556962025316,25.446428571428573
S_052,56.25,71.12048192771084,-14.870481927710841,20.630372492836678
S_053,78.662109375,69.16,9.502109375000003,28.84615384615385
S_054,56.25,64.5952380952381,-8.345238095238102,27.692307692307693
S_055,67.67578125,73.0,-5.32421875,24.244630506006555
S_056,56.25,97.20987654320987,-40.95987654320987,30.055658627087197
S_057,67.67578125,68.44444444444444,-0.7686631944444429,30.887185104052573
S_058,56.25,79.9625,-23.712500000000006,28.01037421267136
S_059,78.662109375,78.73913043478261,-0.07702105978260931,20.081814801041276
